,Name,Indian rupee
253,2000-01-31,12383.2
254,2000-02-29,13076.2
255,2000-03-31,12481.8
256,2000-04-28,12205.7
257,2000-05-31,12100.2
258,2000-06-30,12766.6
259,2000-07-31,12608.5
260,2000-08-31,12537.3
261,2000-09-29,12557.9
262,2000-10-31,12511.2
263,2000-11-30,12441.9
264,2000-12-29,12690.7
265,2001-01-31,12352.3
266,2001-02-28,12181.4
267,2001-03-30,12260.3
268,2001-04-30,12175.4
269,2001-05-31,12777.7
270,2001-06-29,12699.0
271,2001-07-31,12608.9
272,2001-08-31,12835.3
273,2001-09-28,13501.6
274,2001-10-31,13589.7
275,2001-11-30,13254.2
276,2001-12-31,13205.2
277,2002-01-31,13596.5
278,2002-02-28,14378.4
279,2002-03-29,14325.4
280,2002-04-30,14799.4
281,2002-05-31,15400.2
282,2002-06-28,15714.3
283,2002-07-31,15270.2
284,2002-08-30,15067.0
285,2002-09-30,15452.8
286,2002-10-31,15303.8
287,2002-11-29,15391.0
288,2002-12-31,15973.1
289,2003-01-31,17094.4
290,2003-02-28,17136.7
291,2003-03-31,16221.2
292,2003-04-30,15547.4
293,2003-05-30,16744.2
294,2003-06-30,16640.5
295,2003-07-31,16221.3
296,2003-08-29,16520.0
297,2003-09-30,17365.8
298,2003-10-31,17195.6
299,2003-11-28,17756.6
300,2003-12-31,18538.2
301,2004-01-30,18794.8
302,2004-02-27,18312.7
303,2004-03-31,18270.1
304,2004-04-30,17697.8
305,2004-05-31,17331.1
306,2004-06-30,17842.5
307,2004-07-30,18313.2
308,2004-08-31,18543.6
309,2004-09-30,18660.0
310,2004-10-29,19229.4
311,2004-11-30,19796.1
312,2004-12-31,19417.4
313,2005-01-31,18523.0
314,2005-02-28,18481.5
315,2005-03-31,18957.7
316,2005-04-29,18760.7
317,2005-05-31,18341.2
318,2005-06-30,18757.9
319,2005-07-29,18460.4
320,2005-08-31,19085.3
321,2005-09-30,20011.1
322,2005-10-31,21049.6
323,2005-11-30,21769.3
324,2005-12-30,23298.0
325,2006-01-31,24324.0
326,2006-02-28,24565.6
327,2006-03-31,24750.2
328,2006-04-28,27413.1
329,2006-05-31,30618.5
330,2006-06-30,27435.6
331,2006-07-31,29447.3
332,2006-08-31,29436.7
333,2006-09-29,27583.2
334,2006-10-31,26628.0
335,2006-11-30,28147.2
336,2006-12-29,28116.5
337,2007-01-31,27961.2
338,2007-02-28,29348.2
339,2007-03-30,28785.0
340,2007-04-30,28611.5
341,2007-05-31,27238.3
342,2007-06-29,26735.6
343,2007-07-31,26890.0
344,2007-08-31,27161.7
345,2007-09-28,28735.7
346,2007-10-31,29824.5
347,2007-11-30,31812.3
348,2007-12-31,31693.9
349,2008-01-31,35020.6
350,2008-02-29,36671.0
351,2008-03-31,39065.6
352,2008-04-30,36432.1
353,2008-05-30,37481.1
354,2008-06-30,38110.9
355,2008-07-31,40263.1
356,2008-08-29,36050.1
357,2008-09-30,37866.6
358,2008-10-31,39183.3
359,2008-11-28,37325.9
360,2008-12-31,39753.9
361,2009-01-30,41983.4
362,2009-02-27,46533.0
363,2009-03-31,47388.4
364,2009-04-30,44625.9
365,2009-05-29,45105.7
366,2009-06-30,45177.4
367,2009-07-31,45262.5
368,2009-08-31,45883.5
369,2009-09-30,48224.3
370,2009-10-30,48744.7
371,2009-11-30,52490.1
372,2009-12-31,52883.4
373,2010-01-29,51342.6
374,2010-02-26,50761.8
375,2010-03-31,50672.4
376,2010-04-30,51111.1
377,2010-05-31,55372.2
378,2010-06-30,57418.5
379,2010-07-30,55867.6
380,2010-08-31,56639.7
381,2010-09-30,58462.6
382,2010-10-29,59610.4
383,2010-11-30,61638.0
384,2010-12-31,62781.7
385,2011-01-31,61660.9
386,2011-02-28,62371.6
387,2011-03-31,64040.4
388,2011-04-29,65436.9
389,2011-05-31,67905.2
390,2011-06-30,68549.9
391,2011-07-29,69851.1
392,2011-08-31,79635.9
393,2011-09-30,84349.6
394,2011-10-31,82053.6
395,2011-11-30,88268.3
396,2011-12-30,86615.9
